,masterid,mastermag,egfid,egfmag,station_number,fcmaster
384,38463439,3.22,37229156,2.7,4,4.6866488041972945
385,38463439,3.22,38460247,2.7,2,5.672050355677614
386,38463439,3.22,38496647,2.69,7,6.6785311169441455
387,38463439,3.22,38461055,2.57,2,8.276035918300071
388,38463439,3.22,38462295,2.57,5,4.617947839158094
389,38463439,3.22,37232420,2.55,1,7.448281838995242
390,38463439,3.22,38458231,2.52,1,9.98330658142253
391,38463439,3.22,38462183,2.46,3,6.530649215172021
392,38463439,3.22,38467967,2.38,5,6.917781591195784
393,38463439,3.22,38461247,2.23,1,2.552673740198672
394,38463439,3.22,37231764,2.19,2,9.822833819302993
395,38463439,3.22,38462455,2.18,2,4.304894881799435
396,38463439,3.22,37228612,2.12,2,10.671479771484481
397,38463439,3.22,38468639,2.11,4,7.801057381789726
398,38473983,3.22,38480527,2.15,3,4.5196432091329415
399,38475551,3.22,38477063,2.58,2,6.073622672522904
400,38475551,3.22,38475559,2.32,1,38.943977419825686
401,38518087,3.22,38565135,2.25,5,19.574321307460327
402,38561855,3.22,38488815,2.55,6,10.579020180658407
403,37421933,3.21,38455487,2.57,3,8.777693235899525
404,37421933,3.21,38448007,2.27,2,22.15804570953926
405,37421933,3.21,37234548,2.14,2,11.901801968460399
406,38446391,3.21,38443991,2.67,4,4.297864083573812
407,38446391,3.21,38444535,2.26,4,3.469043058107412
408,38446391,3.21,37232388,2.22,1,10.648948005319044
409,37427557,3.21,37228612,2.12,1,8.576594619133864
410,38458783,3.21,38566367,2.1,7,24.897266547592686
411,37235380,3.21,37235468,2.44,3,8.975651260750958
412,38486063,3.21,38464327,2.64,3,10.237005145021191
413,38486063,3.21,38462367,2.31,4,7.16237278610464
414,38486063,3.21,38459687,2.1,2,16.92991457639812
415,38486063,3.21,38486239,2.05,3,31.388452346031926
416,38486063,3.21,38486351,2.02,7,6.820184264889837
417,37421965,3.2,38449735,2.11,9,2.2793363984881903
418,38447999,3.2,38448231,2.39,19,17.699060756586483
419,37221148,3.2,38502751,2.61,3,1.3861844208268372
420,37221148,3.2,38579079,2.14,1,1.5740479377885723
421,38458167,3.2,38462055,2.56,1,4.183204788279281
422,38460991,3.2,38466255,2.49,6,4.491412892636672
423,38460991,3.2,38527351,2.36,3,11.219394422781981
424,38460991,3.2,38462543,2.19,5,16.902766974459226
425,38460991,3.2,38467703,2.18,5,12.905604246944906
426,38460991,3.2,38471375,2.17,5,7.3010370096720365
427,38460991,3.2,38473959,2.01,4,14.37454949515725
428,38461423,3.2,38556887,2.64,6,10.938119184140934
429,38463375,3.2,38474911,2.37,2,4.379918530580311
430,38463375,3.2,38553015,2.02,3,5.625975803705818
431,38480975,3.2,38463967,2.55,2,7.333225021570701
432,38493743,3.2,38459023,2.51,7,17.98094365283816
433,38519287,3.2,38534031,2.28,5,8.335715658664862
434,38450511,3.19,38502311,2.48,3,7.901041589260559
435,38450511,3.19,38451535,2.02,10,9.773855027888457
436,38450511,3.19,38520959,2.01,4,7.864581775083098
437,37228292,3.19,38471815,2.14,3,7.769795611438755
438,38461607,3.19,37229164,2.27,1,5.467955506552089
439,38461607,3.19,38460351,2.25,1,27.199546220487807
440,38461607,3.19,38459623,2.24,2,3.599087665884022
441,38461607,3.19,37231764,2.19,2,5.776687929448695
442,38465087,3.19,38482743,2.21,9,7.26873590267754
443,38465087,3.19,38467327,2.07,3,6.066831583045586
444,38465087,3.19,38465055,2.05,6,7.219093736117789
445,38465087,3.19,38477399,2.05,3,9.054244793655267
446,38479143,3.19,38464311,2.56,6,4.828724362110597
447,38479143,3.19,38558751,2.37,8,21.672983690533083
448,38479143,3.19,38491959,2.27,9,7.166965146725164
449,38479143,3.19,38582751,2.04,9,6.426636462288722
450,38483383,3.19,38480119,2.57,7,6.254700328594359
451,38483383,3.19,38483551,2.03,3,4.51547117837219
452,38553919,3.19,38453463,2.05,9,12.922295504783593
453,38473063,3.18,38460839,2.56,6,2.586355885345694
454,38473063,3.18,38471663,2.24,2,9.01900365889926
455,38473063,3.18,38471671,2.23,6,4.183784170615711
456,38457951,3.17,38479751,2.08,1,18.2900911075317
457,37226852,3.17,37233556,2.38,1,4.593581779651932
458,38463903,3.17,38552607,2.33,6,8.260335599584932
459,38497719,3.17,38458855,2.58,7,23.30695089267615
460,38576223,3.17,37232468,2.06,2,11.842430786182856
461,37222164,3.16,38464119,2.31,1,10.311198253013064
462,37222164,3.16,38462359,2.12,1,13.195354633972816
463,37226964,3.16,37233676,2.31,2,1.4160529345394732
464,37226964,3.16,38466935,2.24,1,13.976915611111766
